name,price,img,add_img,categor_list,proizvodit,country_proizvodit,artikul,size
Джинсы женские утепленные Barbie Coco Q-252 ,999 руб.,/upload/iblock/77b/77b78ef27c8bee8a42b57d51f299592e.jpg,"/upload/resize_cache/iblock/77b/70_113_2/77b78ef27c8bee8a42b57d51f299592e.jpg,/upload/resize_cache/iblock/d1b/70_113_2/d1bfbe2bea0170e747fd6e2bc8a222fa.jpg,/upload/resize_cache/iblock/4a8/70_113_2/4a82931156164b9384d07392352b09d3.jpg,/upload/resize_cache/iblock/be8/70_113_2/be8f5b2e4c1ae77e093d57d48914f2e8.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: Q-252,25
Джинсы женские утепленные Langluka X1747-1F ,960 руб.,/upload/iblock/fe5/fe5f3a665f1e0c9666ad09f0d43ce4ba.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: X1747-1F,"25,26"
Джинсы женские утепленные Langluka LJ1500B-7FH ,960 руб.,/upload/iblock/3fa/3faaa8745363b1d44d74732ce0502471.jpg,"/upload/resize_cache/iblock/3fa/70_113_2/3faaa8745363b1d44d74732ce0502471.jpg,/upload/resize_cache/iblock/ecb/70_113_2/ecbbb3ea665e3a680fd4abca8b107d2b.jpg,/upload/resize_cache/iblock/2c9/70_113_2/2c9e857370101283b204b18820b34460.jpg,/upload/resize_cache/iblock/9cf/70_113_2/9cfbf329be7628cf12dfa40d52845dda.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: LJ1500B-7FH,"31,32"
Джинсы женские утепленные Langluka LJ1383B-7FH ,960 руб.,/upload/iblock/507/5070f752871ef5ddea81e312662ce321.jpg,"/upload/resize_cache/iblock/507/70_113_2/5070f752871ef5ddea81e312662ce321.jpg,/upload/resize_cache/iblock/eef/70_113_2/eefd494580efcdb5a7f9a1ea047c5faf.jpg,/upload/resize_cache/iblock/aba/70_113_2/aba213c225e19445a54417ef97268339.jpg,/upload/resize_cache/iblock/12e/70_113_2/12e2e7ae290ff4f2c134d71b901d80d7.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: LJ1383B-7FH,"31,32"
Джинсы женские утепленные AZZ 6902 ,920 руб.,/upload/iblock/91c/91ceb5c001fce75eebbe0b7bdb971e3d.jpg,"/upload/resize_cache/iblock/91c/70_113_2/91ceb5c001fce75eebbe0b7bdb971e3d.jpg,/upload/resize_cache/iblock/a37/70_113_2/a3782d4de1cbc4939294e83cbf3ed58e.jpg,/upload/resize_cache/iblock/e93/70_113_2/e93bb3fa07bb40194e0a98a2cf52fefe.jpg,/upload/resize_cache/iblock/619/70_113_2/619440e905320f67001fe2d09c0740a8.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 6902,"30,32"
Джинсы женские утепленные XQL 006 ,880 руб.,/upload/iblock/f3a/f3a4ff381662612bfcc1e2c51340bf84.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 006,"25,26,27,28,30"
Куртка женская джинсовая Haodi HD99-242S ,2 000 руб.,/upload/iblock/375/375239ee605c3ba2db6edf408fee3aa2.jpg,"/upload/resize_cache/iblock/375/70_113_2/375239ee605c3ba2db6edf408fee3aa2.jpg,/upload/resize_cache/iblock/b5e/70_113_2/b5ef8416d2e314d27fa88117cc774227.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Куртки, пиджаки и жилетки",Производитель: ,Китай,Артикул: HD99-242S,"40,44"
Джинсы женские утепленные XQL 017 ,880 руб.,/upload/iblock/494/49499f3be8c0ac36e5dc3ad420781cfd.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 017,"25,26,27,29,30"
Джинсы женские утепленные Langluka LJ1388AFH ,999 руб.,/upload/iblock/903/90345516ae5597c9fd37985c9801ba6d.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: LJ1388AFH,32
Бриджи женские джинсовые Miss Bon MB388 ,790 руб.,/upload/iblock/b19/b1966ce1c20a8aa218ebfc65acef0c90.jpg,"/upload/resize_cache/iblock/b19/70_113_2/b1966ce1c20a8aa218ebfc65acef0c90.jpg,/upload/resize_cache/iblock/cde/70_113_2/cde2bc532830d979c30920f0b951c488.jpg,/upload/resize_cache/iblock/041/70_113_2/041d9041321771f2022d6aba52063dd9.jpg,/upload/resize_cache/iblock/fd1/70_113_2/fd1b0eca8be0c613ca52716ba6b0f225.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: MB388,"25,26,27,28,29,30"
Куртка женская джинсовая Haodi HD99-240AS ,2 000 руб.,/upload/iblock/75b/75b1fed6233bd2267d9330d6090c428f.jpg,"/upload/resize_cache/iblock/75b/70_113_2/75b1fed6233bd2267d9330d6090c428f.jpg,/upload/resize_cache/iblock/bbe/70_113_2/bbe35dd81443c672b95cd0d6b2e7fcff.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Куртки, пиджаки и жилетки",Производитель: ,Китай,Артикул: HD99-240AS,"46-48,48"
Шорты женские джинсовые Langluka X1636DK ,790 руб.,/upload/iblock/463/463d44c978cfec3ed5dc4b06e2f997b9.jpg,"/upload/resize_cache/iblock/463/70_113_2/463d44c978cfec3ed5dc4b06e2f997b9.jpg,/upload/resize_cache/iblock/60f/70_113_2/60f932c8a9ebb565cbaf42ee9d2fe9ad.jpg,/upload/resize_cache/iblock/e90/70_113_2/e902073e292450a380972940693cee9c.jpg,/upload/resize_cache/iblock/fb5/70_113_2/fb50f9d3e2235469a394f3a077484f7c.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: X1636DK,"25,26,27,28,29"
Джинсы женские утепленные Langluka LJ1508BFH ,960 руб.,/upload/iblock/178/1781739a3f37ecbf160b4232cdb19aab.jpg,"/upload/resize_cache/iblock/178/70_113_2/1781739a3f37ecbf160b4232cdb19aab.jpg,/upload/resize_cache/iblock/e81/70_113_2/e81b3fd874727765ad475e210bfb026c.jpg,/upload/resize_cache/iblock/d5e/70_113_2/d5e63425c7b09f872976732b6ea5b380.jpg,/upload/resize_cache/iblock/1eb/70_113_2/1eb04ec12e3cd9b1f2d2dfbc40bde378.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: LJ1508BFH,33
Жилет  джинсовый жен. Vigazz B-202 ,1 000 руб.,/upload/iblock/1c5/1c574cf6a2be9b6e566c833b48041321.jpg,"/upload/resize_cache/iblock/1c5/70_113_2/1c574cf6a2be9b6e566c833b48041321.jpg,/upload/resize_cache/iblock/c95/70_113_2/c956cd9bea1650bbb2ff436ed174f1fb.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Куртки, пиджаки и жилетки",Производитель: ,Китай,Артикул: B-202,XL
Джинсы женские утепленные XQL 011 ,880 руб.,/upload/iblock/05e/05eb4b39d086fe6fc5e4730c05c1c695.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 011,"25,26,29"
Джинсы женские CO&LA CA6002BKK ,999 руб.,/upload/iblock/16d/16d7b6a45024d1a535ea120e3a8c714c.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Брюки джинсовые",Производитель: ,Китай,Артикул: CA6002BKK,31
Шорты женские джинсовые Langluka X1631ADK ,790 руб.,/upload/iblock/a18/a1810cab0ace73baff83b3d66d32a3e5.jpg,"/upload/resize_cache/iblock/a18/70_113_2/a1810cab0ace73baff83b3d66d32a3e5.jpg,/upload/resize_cache/iblock/ea7/70_113_2/ea7246d8adceafcb5c650194ad10ea3a.jpg,/upload/resize_cache/iblock/6c0/70_113_2/6c0cb73e3a869c83a16cfbe4844d9d04.jpg,/upload/resize_cache/iblock/d73/70_113_2/d73cf3a57be67d12b7ad1a65dc45bd75.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: X1631ADK,"28,29,32,34"
Джинсы женские утепленные Langluka LJ1023-BFH ,960 руб.,/upload/iblock/98e/98e7885957636a2399c17a0db521efd6.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул:  LJ1023-BFH,
Джинсы женские утепленные Parastoo 5913 ,920 руб.,/upload/iblock/6bd/6bdf8bf3be8b0d2cc1b4731adcf2c305.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 5913,32
Джинсы женские утепленные GDKZ K-070 ,990 руб.,/upload/iblock/1ef/1efcb370200253c2d6d39cc08818a0b0.jpg,"/upload/resize_cache/iblock/1ef/70_113_2/1efcb370200253c2d6d39cc08818a0b0.jpg,/upload/resize_cache/iblock/08c/70_113_2/08c69b9c309487d8e8460bf07432d804.jpg,/upload/resize_cache/iblock/7db/70_113_2/7db4311d61a5f97272b3415ab95f98b0.jpg,/upload/resize_cache/iblock/51d/70_113_2/51d02085fc254264899050ec87c73c6c.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: K-070,
Джинсы женские утепленные Langluka LJ1390BFH ,960 руб.,/upload/iblock/27d/27d825a4fccbde0fefbab53b2c46a4fe.jpg,"/upload/resize_cache/iblock/27d/70_113_2/27d825a4fccbde0fefbab53b2c46a4fe.jpg,/upload/resize_cache/iblock/642/70_113_2/642dc405866a1cb680353c1785dfe36e.jpg,/upload/resize_cache/iblock/007/70_113_2/00787cfb3ffc62f57452b4eedb34deaa.jpg,/upload/resize_cache/iblock/73d/70_113_2/73d4a324a6bcf071c60691ff224346cc.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: LJ1390BFH,32
Джинсы женские утепленные Sesvinan 5908 ,920 руб.,/upload/iblock/7f7/7f7133922c7d1cf2ef9b6c8426108258.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 5908,"31,32,33"
Джинсы женские утепленные Barbie Coco Q-248 ,999 руб.,/upload/iblock/40f/40fb091b7e97c40a1dc75447f03a7442.jpg,"/upload/resize_cache/iblock/40f/70_113_2/40fb091b7e97c40a1dc75447f03a7442.jpg,/upload/resize_cache/iblock/f59/70_113_2/f59ac85a22945488a3329e65507ff5f8.jpg,/upload/resize_cache/iblock/b4b/70_113_2/b4b1cbf054036d0254e120168b3d3a2e.jpg,/upload/resize_cache/iblock/f9f/70_113_2/f9fc928066198f3200b49943298ad4ef.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: Q-248,25
Джинсы женские утепленные Manguer 8604 ,800 руб.,/upload/iblock/4a4/4a48485128f4e69dae2030238cc6be26.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 8604,27
Бриджи женские джинсовые Rich Berg TD9013 ,790 руб.,/upload/iblock/4bd/4bdec05c05f1b938755e26d51b641240.jpg,"/upload/resize_cache/iblock/4bd/70_113_2/4bdec05c05f1b938755e26d51b641240.jpg,/upload/resize_cache/iblock/304/70_113_2/304adaadf01b825d6c8823f6ab42b41b.jpg,/upload/resize_cache/iblock/db1/70_113_2/db15a1695665e8735b784a1e69659702.jpg,/upload/resize_cache/iblock/f1c/70_113_2/f1c4f9c107f40da7e34cc800f1e27e24.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: TD9013,"28,29"
Джинсы женские утепленные Гodi 956 ,920 руб.,/upload/iblock/359/359db13e25a1146cfec586f50e522bc1.jpg,"/upload/resize_cache/iblock/359/70_113_2/359db13e25a1146cfec586f50e522bc1.jpg,/upload/resize_cache/iblock/220/70_113_2/220e3c3ddfbf13622fb7822d7da845a0.jpg,/upload/resize_cache/iblock/7a4/70_113_2/7a4c2809f74ad3510ad277fd011117ff.jpg,/upload/resize_cache/iblock/67d/70_113_2/67d271a8e83c8da7b2297b57673b5a15.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 956,"30,31,32"
Бриджи женские джинсовые Miss Bon MB387-1 ,790 руб.,/upload/iblock/2ed/2ed21f35da96c5124df0289fcd77d79f.jpg,"/upload/resize_cache/iblock/2ed/70_113_2/2ed21f35da96c5124df0289fcd77d79f.jpg,/upload/resize_cache/iblock/409/70_113_2/409ffe36187cd753202e978fb8d0c5a1.jpg,/upload/resize_cache/iblock/dfb/70_113_2/dfb7273c0d65dfdb262ae7e8dd91b3f9.jpg,/upload/resize_cache/iblock/dc3/70_113_2/dc332daa840c7afb8d6f4ea5c72f5ddf.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: MB387-1,28
Шорты женские джинсовые Langluka LK0147DK ,790 руб.,/upload/iblock/5ae/5ae6bc610038dcf16d5df5e8e15d24d6.jpg,"/upload/resize_cache/iblock/5ae/70_113_2/5ae6bc610038dcf16d5df5e8e15d24d6.jpg,/upload/resize_cache/iblock/299/70_113_2/299e41e17fe4878f63894c53ca09464d.jpg,/upload/resize_cache/iblock/58b/70_113_2/58b14e7c0a9b3abcc1031e03a3613227.jpg,/upload/resize_cache/iblock/1c9/70_113_2/1c9b43d335dfebc3b9ae4b58f61dfda6.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: LK0147DK,"25,26,27,28,29,30"
Бриджи женские джинсовые Rich Berg T9010 ,790 руб.,/upload/iblock/885/885a77d40b6d37eb32532e0f964ccde4.jpg,"/upload/resize_cache/iblock/885/70_113_2/885a77d40b6d37eb32532e0f964ccde4.jpg,/upload/resize_cache/iblock/400/70_113_2/40029a65c17fcae923fc0f796c934585.jpg,/upload/resize_cache/iblock/a21/70_113_2/a21ac79236c9af734d69dfb00f86a271.jpg,/upload/resize_cache/iblock/a66/70_113_2/a665e13bcc57f36bded1895a57e5d093.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: T9010,"25,26,27,28"
Джинсы женские утепленные KK K-620 ,999 руб.,/upload/iblock/13c/13ce7dba9e6fface33d9279537a8b901.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: K-620,25
Джинсы женские утепленные TG 0704 ,999 руб.,/upload/iblock/e1e/e1e563db99bf25dd2a88411aa48f7cab.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 0704,25
Джинсы женские утепленные Miss Bon MB-701 ,990 руб.,/upload/iblock/348/348c080e3584a11b51c3102eaa1c33a3.jpg,"/upload/resize_cache/iblock/348/70_113_2/348c080e3584a11b51c3102eaa1c33a3.jpg,/upload/resize_cache/iblock/eec/70_113_2/eecd2f850d712def83afb1b2165462c2.jpg,/upload/resize_cache/iblock/13b/70_113_2/13bfd4449db7fa9414e16e4998de3403.jpg,/upload/resize_cache/iblock/369/70_113_2/3697c5f275861b01d0b6de4c4dda10ba.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: MB-701,"32,34,36"
Джинсы женские утепленные XQL 012 ,880 руб.,/upload/iblock/ecf/ecfd07a1789e8f1e3ded889339acb7f9.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 012,"25,26,27,28,29,30"
Куртка женская джинсовая Haodi HD99-247S ,2 000 руб.,/upload/iblock/81f/81f58fe5d3be02f0196192ff1a7cb440.jpg,"/upload/resize_cache/iblock/81f/70_113_2/81f58fe5d3be02f0196192ff1a7cb440.jpg,/upload/resize_cache/iblock/86a/70_113_2/86adfeb110773f2163033ce78e106df7.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Куртки, пиджаки и жилетки",Производитель: ,Китай,Артикул: HD99-247S,42
Джинсы женские утепленные GDKZ K-086 ,880 руб.,/upload/iblock/780/780b2d13720cea88c7d469e3d2da68be.jpg,"/upload/resize_cache/iblock/780/70_113_2/780b2d13720cea88c7d469e3d2da68be.jpg,/upload/resize_cache/iblock/cfd/70_113_2/cfdb8873836fd54a18f7f39491dca51a.jpg,/upload/resize_cache/iblock/ab9/70_113_2/ab91cd8ec61d3f8d930679301a41db67.jpg,/upload/resize_cache/iblock/1c5/70_113_2/1c54a8c09fb0db3a95692bbb4ff789f5.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: K-086,"29,31"
Джинсы женские утепленные Langluka LJ1016-AFH ,880 руб.,/upload/iblock/b16/b16459f684038ff30248f88b010de342.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул:  LJ1016-AFH,
Бриджи женские джинсовые Rich Berg TD9016 ,790 руб.,/upload/iblock/61c/61c32db08edeb8fe804035f275234d55.jpg,"/upload/resize_cache/iblock/61c/70_113_2/61c32db08edeb8fe804035f275234d55.jpg,/upload/resize_cache/iblock/eae/70_113_2/eae4f81725bf0b9fc7ee9a76f5033d34.jpg,/upload/resize_cache/iblock/af6/70_113_2/af67fabc1953965b256b29eb4bf72880.jpg,/upload/resize_cache/iblock/fcc/70_113_2/fcc57af249db4aa8e727db04878fff55.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: TD9016,"28,29"
Шорты женские джинсовые Langluka X1619K ,790 руб.,/upload/iblock/140/140323e8cd400d88462a9d72dfce3ffe.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: X1619K,"25,26,27,28,29,30"
Жилет  джинсовый жен. Rich Berg В8943 ,1 400 руб.,/upload/iblock/fba/fbabcfc229300d9db6eb76fe1d64427d.jpg,"/upload/resize_cache/iblock/fba/70_113_2/fbabcfc229300d9db6eb76fe1d64427d.jpg,/upload/resize_cache/iblock/ba3/70_113_2/ba351db13f097ac9ba64acc967165a3b.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Куртки, пиджаки и жилетки",Производитель: ,Китай,Артикул: В8943,XXL
Джинсы женские утепленные KK K-622 ,999 руб.,/upload/iblock/f23/f237f04363e0101d07ceedbdec4bc7ed.jpg,,"Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: K-622,25
Бриджи женские джинсовые Rich Berg T9011 ,790 руб.,/upload/iblock/7fd/7fdfdef2b4247523e930c8fbfe448173.jpg,"/upload/resize_cache/iblock/7fd/70_113_2/7fdfdef2b4247523e930c8fbfe448173.jpg,/upload/resize_cache/iblock/47f/70_113_2/47ff0e199d8557a63b8d5a9150b88b8e.jpg,/upload/resize_cache/iblock/925/70_113_2/9258ce03e24f82d08df8180abebdd71b.jpg,/upload/resize_cache/iblock/6ec/70_113_2/6ec9e3eceb159a0c3ff9f14776612908.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: T9011,"25,26,29,30"
Шорты женские джинсовые Langluka LK1621K ,790 руб.,/upload/iblock/d17/d17f58160413bf14d9b7ca296904dba5.jpg,"/upload/resize_cache/iblock/d17/70_113_2/d17f58160413bf14d9b7ca296904dba5.jpg,/upload/resize_cache/iblock/7a2/70_113_2/7a208acfc5306d06931b561ba38981a3.jpg,/upload/resize_cache/iblock/ba1/70_113_2/ba10c4f68614678ac51470033d85c7e5.jpg,/upload/resize_cache/iblock/bad/70_113_2/badc37fde30e20568c1f5b204ff145a7.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: LK1621K,"25,26,27,28,30"
Джинсы женские утепленные Dute 6059 ,960 руб.,/upload/iblock/acd/acd20bff726a51194ed03b77f9c155eb.jpg,"/upload/resize_cache/iblock/acd/70_113_2/acd20bff726a51194ed03b77f9c155eb.jpg,/upload/resize_cache/iblock/d50/70_113_2/d50dbdf2ed3d05383d05eddc60593520.jpg,/upload/resize_cache/iblock/ee1/70_113_2/ee1070b6e3c2e21b94aed0c40bf15bfb.jpg,/upload/resize_cache/iblock/d4a/70_113_2/d4a7b6a7ff9234a4a6c94fefdf2090ac.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 6059,"29,30,32"
Бриджи женские джинсовые Miss Bon MB390 ,790 руб.,/upload/iblock/858/85805180d8feaee0b2f680a753ce0f63.jpg,"/upload/resize_cache/iblock/858/70_113_2/85805180d8feaee0b2f680a753ce0f63.jpg,/upload/resize_cache/iblock/bea/70_113_2/bea8fe6e423ff16a17b828d787f49541.jpg,/upload/resize_cache/iblock/203/70_113_2/203dbf06266f93c5bef57178ed950b1c.jpg,/upload/resize_cache/iblock/1e2/70_113_2/1e26ddac7fd37b1a1cf3478ad2af7423.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Шорты, бриджи, капри",Производитель: ,Китай,Артикул: MB390,"25,26,27,28,29,30"
Джинсы женские утепленные Roxvivi RX-605 ,990 руб.,/upload/iblock/fa8/fa8a203d40ca82bf067cbf37a59d6277.jpg,"/upload/resize_cache/iblock/fa8/70_113_2/fa8a203d40ca82bf067cbf37a59d6277.jpg,/upload/resize_cache/iblock/191/70_113_2/191479051199be9b54a8635edb6845c5.jpg,/upload/resize_cache/iblock/7ca/70_113_2/7ca4345eb17071642ff30e4d2ca03877.jpg,/upload/resize_cache/iblock/33b/70_113_2/33b6639fcd9684d523f6b4ca8ace96ce.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: RX-605,"30,31,32,33,34,36"
Джинсы женские утепленные Manguer 8602 ,800 руб.,/upload/iblock/a26/a262d1e859344517918e1e1d5b050be0.jpg,"/upload/resize_cache/iblock/a26/70_113_2/a262d1e859344517918e1e1d5b050be0.jpg,/upload/resize_cache/iblock/006/70_113_2/0063debfde5e013a726554cef2ce21bd.jpg,/upload/resize_cache/iblock/404/70_113_2/404b49ed9a0d53bf4c78cc561edff1dd.jpg,/upload/resize_cache/iblock/779/70_113_2/779ae303844d1591281ca926b808fd42.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 8602,25
Джинсы женские CO&LA CA6005AKK ,999 руб.,/upload/iblock/58a/58a7fb076bcb2c95fe903a9ed59d88ef.jpg,"/upload/resize_cache/iblock/58a/70_113_2/58a7fb076bcb2c95fe903a9ed59d88ef.jpg,/upload/resize_cache/iblock/8ab/70_113_2/8ab489a2ec330d69216e1936242b5bca.jpg,/upload/resize_cache/iblock/f99/70_113_2/f998a603f2d713fe56f750b036d0ea39.jpg,/upload/resize_cache/iblock/eb2/70_113_2/eb2c8f6b85229db1ea7ed1a6265d5c46.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Брюки джинсовые",Производитель: ,Китай,Артикул: CA6005AKK,"28,29,30,31"
Джинсы женские Langluka PY157AKK ,999 руб.,/upload/iblock/95b/95b1a16f3b63edcdfd57755feb7327d6.jpg,"/upload/resize_cache/iblock/95b/70_113_2/95b1a16f3b63edcdfd57755feb7327d6.jpg,/upload/resize_cache/iblock/d51/70_113_2/d51aefe7ba28e5d3915e272881cecd3b.jpg,/upload/resize_cache/iblock/024/70_113_2/024873f94899511874312105394c1110.jpg,/upload/resize_cache/iblock/4e4/70_113_2/4e4c50903f5403f5a283276fea06bf9e.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Брюки джинсовые",Производитель: ,Китай,Артикул: PY157AKK,"28,29,31,32,33"
Джинсы женские Langluka X1692 ,999 руб.,/upload/iblock/296/296645434eda23f1949efc8314205938.jpg,"/upload/resize_cache/iblock/296/70_113_2/296645434eda23f1949efc8314205938.jpg,/upload/resize_cache/iblock/b35/70_113_2/b3513f76cb345991cd716e54bbee7146.jpg,/upload/resize_cache/iblock/904/70_113_2/904225c785fd57db97531c81d1f4ad8b.jpg,/upload/resize_cache/iblock/108/70_113_2/108520f2515a980c8d91e80adeec00a2.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Брюки джинсовые",Производитель: ,Китай,Артикул: X1692,"25,26,27,28"
Джинсы женские Haodi HD99-217KK ,999 руб.,/upload/iblock/3e1/3e1b79b4bb84e71708cd09e3326548e5.jpg,"/upload/resize_cache/iblock/3e1/70_113_2/3e1b79b4bb84e71708cd09e3326548e5.jpg,/upload/resize_cache/iblock/dad/70_113_2/dad0d5721dc77e5348cac02bea2f068d.jpg,/upload/resize_cache/iblock/784/70_113_2/78491bdf3b1198e39225eb5fcf0235d2.jpg,/upload/resize_cache/iblock/e52/70_113_2/e52736c194dcafc573721ff9ece13539.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Брюки джинсовые",Производитель: ,Китай,Артикул: HD99-217KK,"25,26,27,28,29"
Джинсы женские утепленные Sesvinan 5918 ,920 руб.,/upload/iblock/295/295f20e68a9de4df5722cee3ee793ac7.jpg,"/upload/resize_cache/iblock/295/70_113_2/295f20e68a9de4df5722cee3ee793ac7.jpg,/upload/resize_cache/iblock/28c/70_113_2/28c2a6a002d4353b46b58b5cf992fcdf.jpg,/upload/resize_cache/iblock/f45/70_113_2/f458e40584fff2b2397f0eabdd60003e.jpg,/upload/resize_cache/iblock/434/70_113_2/434698cd903170780d92aa7c0c68878b.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 5918,"32,34"
Джинсы женские утепленные Manguer 8601 ,800 руб.,/upload/iblock/a22/a2258805c728158a3d23e939702a75d1.jpg,"/upload/resize_cache/iblock/a22/70_113_2/a2258805c728158a3d23e939702a75d1.jpg,/upload/resize_cache/iblock/394/70_113_2/3949e50b60ac80e8e710e7abff7fb13a.jpg,/upload/resize_cache/iblock/d50/70_113_2/d50a7800667b1acfdeb6912632f7d6fd.jpg,/upload/resize_cache/iblock/a4a/70_113_2/a4a24506671295a4a6467ce6911c731c.jpg","Главная,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые",Производитель: ,Китай,Артикул: 8601,26
