sku,Link,name_v,price,price_z,categor_list0,categor_list1,categor_list2,categor_list3,categor_list4,categor_list5,list_optoins0,list_optoins_value0,list_optoins1,list_optoins_value1,list_optoins2,list_optoins_value2,list_optoins3,list_optoins_value3,list_optoins4,list_optoins_value4,list_optoins5,list_optoins_value5,list_options9,list_optoins_value9,list_options8,list_optoins_value8,list_options7,list_optoins_value7,list_img,description,img_color,name_color,quantity,quantity opc
167-babus,http://terrakot-yarn.ru/167_babushkina_prjazha/,Бабушкина пряжа,30.0,18,Носочные и хоз. нити,Пряжа,Главная страница,,,,Состав:,100% акрил,Метраж:,150 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,18.00 руб,,,,,,,,,"/images/items/167/03835343.jpg,/images/items/167/03835336.jpg,/images/items/167/03842031.jpg,/images/items/167/03835338.jpg,/images/items/167/03836484.jpg,/images/items/167/03835342.jpg,/images/items/167/03836875.jpg,/images/items/167/03835691.jpg,/images/items/167/03839079.jpg,/images/items/167/03836488.jpg,/images/items/167/03836872.jpg,/images/items/167/03835686.jpg,/images/items/167/03835696.jpg,/images/items/167/03837394.jpg,/images/items/167/03836487.jpg,/images/items/167/03840052.jpg","Р;екомендованный номер спиц: 3,0 - 3,5мм; крючка: №3,0 - 3,5.;;100% акриловая пряжа, ""дешево и сердито"" - это про нее. Богатая цветовая палитра, обилие комбинаций в цвете, данная пряжа понравится любителям вязать следики, тапочки и т.д.;;;: позиция не имеет устоявшейся карты цветов, поэтому оттенки могут значительно отличаться от привоза к привозу!","[['/images/items/167/yarn167big.jpg'], ['/images//items/167/yarn167.png']]","01 белый,02 чёрный,101 золото,108 т.зелёный,156 серобежевый,16 св.бирюза,162 перванш,17 т.джинс,21 зеленое яблоко,215 голубой,22 аспарагус,323 терракот,540 т.бежевый,541 маренго,546 полынь,586 канарейка,903 горчица,920 амарант,95 св.бежевый,96 вишня,Аспарагус Ч,Бежевый Ч,Бирюза светл. Ч,Бирюза Ч,Брусника Ч,Голубой Ч,Ежевика Ч,Зеленый ярк. Ч,Керамика,Лайм Ч,Малина Ч,Серый темн. Ч,Топленое молоко,Травка Ч,Ультрабелый Ч",10,10;10;10;10;10;10;10;10;10
1602-agra,http://terrakot-yarn.ru/1602_agramant/,АГРАМАНТ,230.0,144,Носочные и хоз. нити,Пряжа,Главная страница,,,,Состав:,100% джут,Метраж:,360 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,144.00 руб,,,,,,,,,"/images/items/1602/03856903.jpg,/images/items/1602/03856904.jpg,/images/items/1602/03856899.jpg,/images/items/1602/03856900.jpg,/images/items/1602/03856902.jpg,/images/items/1602/03856906.jpg,/images/items/1602/03856907.jpg,/images/items/1602/03856908.jpg,/images/items/1602/03856905.jpg,/images/items/1602/03856897.jpg,/images/items/1602/03856901.jpg,/images/items/1602/03856909.jpg,/images/items/1602/03856898.jpg,/images/items/1602/03856896.jpg",,"[['/images/items/1602/yarn1602big.jpg'], ['/images//items/1602/yarn1602.png']]","Аграмант 02 черный,Аграмант 03 коричневый,Аграмант 04 беж,Аграмант 05 синий,Аграмант 06 желтый,Аграмант 07 зеленый,Аграмант 08 кобальт,Аграмант 09 фиолетовый,Аграмант 10 терракот,Аграмант 12 лен,Аграмант 13 сиреневый,Аграмант 14 серый,Аграмант 15 полынь,Аграмант 16 св.серый",10,10;10;10;10;10;10;10;10;10
44-uspesh,http://terrakot-yarn.ru/44_uspeshnaja/,Успешная,110.0,70,Пехорка,Пряжа,Главная страница,,,,Состав:,100% мерсеризованный хлопок,Метраж:,220 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,70.00 руб,,,,,,,,,"/images/items/44/03811240.jpg,/images/items/44/03839300.jpg,/images/items/44/03807578.jpg,/images/items/44/03811628.jpg,/images/items/44/03811629.jpg,/images/items/44/03839301.jpg,/images/items/44/03815708.jpg,/images/items/44/03811239.jpg,/images/items/44/03824018.jpg,/images/items/44/03823026.jpg,/images/items/44/03811238.jpg,/images/items/44/03807583.jpg,/images/items/44/03807581.jpg,/images/items/44/03816161.jpg,/images/items/44/03811237.jpg,/images/items/44/03807582.jpg,/images/items/44/03839302.jpg,/images/items/44/03811236.jpg,/images/items/44/03823027.jpg,/images/items/44/03811235.jpg,/images/items/44/03839303.jpg,/images/items/44/03839304.jpg,/images/items/44/03815709.jpg,/images/items/44/03816162.jpg,/images/items/44/03807580.jpg,/images/items/44/03845280.jpg,/images/items/44/03839305.jpg,/images/items/44/03807579.jpg,/images/items/44/03811234.jpg,/images/items/44/03850047.jpg","Рекомендованный номер спиц: 2,0мм; крючка: №1,7 - 2,0. Бережная ручная стирка, max 30°C.;Пряжа выработана по итальянской технологии,  имеет яркие насыщенные цвета. Имеет блеск ниточки, за счет мерсеризации.","[['/images/items/44/yarn44big.jpg'], ['/images//items/44/yarn44.png']]","02 чёрный,04 т.синий,05 голубой,06 красный,07 бордо,08 св.серый,09 зел.яблоко,15 т.голубой,165 т.бежевый,174 стальной,178 св.сиреневый,179 фиалка,18 персик,194 рыжик,21 брусника,223 св.бирюза,26 василек,284 оранжевый,285 морковь,29 розовая сирень,393 св.маренго,411 мята,416 св.коричневый,439 малиновый,480 яр.зелень,483 незрел.лимон,511 зеленка,74 крокус,787 марсала,80 канарейка,87 т.лиловый,918 хвоя",10,10;10;10;10;10;10;10;10;10
45-hlopok,http://terrakot-yarn.ru/45_hlopok_naturalnyj/,Хлопок Натуральный,190.0,120,Пехорка,Пряжа,Главная страница,,,,Состав:,100% хлопок,Метраж:,425 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,120.00 руб,,,,,,,,,"/images/items/45/03812338.jpg,/images/items/45/03812339.jpg,/images/items/45/03812340.jpg,/images/items/45/03812341.jpg,/images/items/45/03846762.jpg,/images/items/45/03815254.jpg,/images/items/45/03812342.jpg,/images/items/45/03838637.jpg,/images/items/45/03812343.jpg,/images/items/45/03812345.jpg,/images/items/45/03812346.jpg,/images/items/45/03846763.jpg,/images/items/45/03838641.jpg,/images/items/45/03815724.jpg,/images/items/45/03846448.jpg,/images/items/45/03815711.jpg,/images/items/45/03838642.jpg,/images/items/45/03846765.jpg,/images/items/45/03846766.jpg,/images/items/45/03812349.jpg,/images/items/45/03844564.jpg,/images/items/45/03851106.jpg,/images/items/45/03812350.jpg,/images/items/45/03812352.jpg,/images/items/45/03812351.jpg","Рекомендованный номер спиц: 2,0 - 2,5мм; крючка: №2,0 - 2,5. Бережная ручная стирка, max 30°C.;Пряжа имеет интересное переплетение, за счет этого красиво ложится в изделии. Приятная к телу. Не вызывает аллергии. Пряжа идеально подходит для вязания летних платьев, сарафанов, туник, подойдет так же для детских изделий.","[['/images/items/45/yarn45big.jpg'], ['/images//items/45/yarn45.png']]","01 белый,02 чёрный,05 голубой,06 красный,07 бордо,11 яр.розовый,12 желток,124 песочный,161 мокко,166 суровый,178 св.сиреневый,191 ежевика,20 розовый,223 св.бирюза,251 коричневый,26 василек,272 вишня,283 лосось,284 оранжевый,35 маренго,393 св.маренго,439 малиновый,483 незрел.лимон,515 зел. бирюза,53 св.желтый,59 мышонок,599 увядшая роза,63 льдинка,65 экзотика",10,10;10;10;10;10;10;10;10;10
437-udach,http://terrakot-yarn.ru/437_udachnyj_vybor/,Удачный выбор,160.0,98,Пехорка,Пряжа,Главная страница,,,,Состав:,100% акрил высокообъёмный,Метраж:,200 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,98.00 руб,,,,,,,,,"/images/items/437/03846781.jpg,/images/items/437/03846782.jpg,/images/items/437/03846784.jpg,/images/items/437/03846785.jpg,/images/items/437/03846786.jpg,/images/items/437/03846787.jpg,/images/items/437/03846792.jpg,/images/items/437/03846793.jpg","Рекомендованный номер спиц: 3,5 - 4,5мм; крючка: №3,5 - 4,5. Бережная ручная стирка, max 30°C.;Пряжа по своим свойствам очень мягкая, объемная, не вызывает аллергии, поэтому подойдет для людей даже с очень чувствительной кожей. Объемная крутка позволит получить результат быстро. Легко распускается, не пушится и не скатывается.","[['/images/items/437/yarn437big.jpg'], ['/images//items/437/yarn437.png']]","Удачный Выбор 02 черный,Удачный Выбор 04 т.синий,Удачный Выбор 05 голубой,Удачный Выбор 06 красный,Удачный Выбор 11 ярк.розовый,Удачный Выбор 12 желток,Удачный Выбор 124 песочный,Удачный Выбор 14 морская волна,Удачный Выбор 163 миндаль,Удачный Выбор 166 суровый,Удачный Выбор 191 ежевика,Удачный Выбор 21 брусника,Удачный Выбор 22 сирень,Удачный Выбор 240 новый розовый,Удачный Выбор 242 гжель,Удачный Выбор 259 осенний лист,Удачный Выбор 26 василек,Удачный Выбор 29 розовая сирень,Удачный Выбор 323 т.бордо,Удачный Выбор 363 св.вишня,Удачный Выбор 377 кофейный,Удачный Выбор 412 верблюжий,Удачный Выбор 45 т.бирюза,Удачный Выбор 583 бирюза,Удачный Выбор 716 свинцовый,Удачный Выбор 76 розовый бутон,Удачный Выбор 87 т.лиловый,Удачный Выбор 88 красный мак,Удачный Выбор 93 азалия,Удачный Выбор 96 серый меланж",10,10;10;10;10;10;10;10;10;10
1534-sekr,http://terrakot-yarn.ru/1534_sekret_uspeha/,СЕКРЕТ УСПЕХА,290.0,182,Пехорка,Пряжа,Главная страница,,,,Состав:,100% шерсть,Метраж:,250 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,182.00 руб,,,,,,,,,"/images/items/1534/03818316.jpg,/images/items/1534/03818317.jpg,/images/items/1534/03854970.jpg,/images/items/1534/03854971.jpg,/images/items/1534/03854972.jpg,/images/items/1534/03818318.jpg,/images/items/1534/03854973.jpg,/images/items/1534/03858253.jpg,/images/items/1534/03854974.jpg,/images/items/1534/03818321.jpg,/images/items/1534/03854848.jpg,/images/items/1534/03854975.jpg,/images/items/1534/03854977.jpg,/images/items/1534/03854978.jpg,/images/items/1534/03818325.jpg,/images/items/1534/03818326.jpg,/images/items/1534/03818327.jpg",,"[['/images/items/1534/yarn1534big.jpg'], ['/images//items/1534/yarn1534.png']]","Секрет Успеха 01 белый,Секрет Успеха 02 чёрный,Секрет Успеха 05 голубой,Секрет Успеха 156 индиго,Секрет Успеха 161 мокко,Секрет Успеха 163 миндальный,Секрет Успеха 191 ежевика,Секрет Успеха 251 коричневый,Секрет Успеха 266 ликер,Секрет Успеха 326 зелен.чай,Секрет Успеха 333 черничное мороженое,Секрет Успеха 342 св.горох,Секрет Успеха 363 св.вишня,Секрет Успеха 412 верблюжий,Секрет Успеха 447 горчица,Секрет Успеха 470 яркий амарант,Секрет Успеха 487 красное дерево,Секрет Успеха 573 т.изумруд,Секрет Успеха 591 лагуна,Секрет Успеха 78 фиолетовый,Секрет Успеха 89 фрез,Секрет Успеха 95 океан,Секрет Успеха 98 лесной колокольчик",10,10;10;10;10;10;10;10;10;10
513-sever,http://terrakot-yarn.ru/513_severnaja/,Северная,none,none,Пехорка,Пряжа,Главная страница,,,,Состав:,"30% ангора, 30% полутонкая шерсть, 40% высокообъёмный акрил",Метраж:,50 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,,91.00 руб,82.00 руб,,,,,,,"/images/items/513/03829114.jpg,/images/items/513/03829120.jpg,/images/items/513/03829121.jpg,/images/items/513/03844871.jpg,/images/items/513/03829492.jpg,/images/items/513/03829123.jpg,/images/items/513/03844552.jpg,/images/items/513/03829494.jpg,/images/items/513/03850038.jpg,/images/items/513/03833759.jpg,/images/items/513/03829125.jpg,/images/items/513/03833071.jpg,/images/items/513/03829126.jpg,/images/items/513/03829127.jpg","Рекомендованный номер спиц: 4,5 - 6,0мм; крючка: №4,0 - 6,0. Бережная ручная стирка, max 30°C.;Пряжа ""Северна"" имеет объемную круточку, изделия вяжутся легко и быстро. Изделия, связанные из этой пряжи, будут согревать Вас своим теплом холодными зимними днями.","[['/images/items/513/yarn513big.jpg'], ['/images//items/513/yarn513.png']]","01 белый,251 коричневый,256 св.джинса,335 изумруд,389 св.фиалка,442 натуральный,447 горчица,448 св.оливковый,45 т.бирюза,478 защитный,496 яр.сирень,71 талая вода,75 жёлтая роза,82 св.ликёр",10,10;10;10;10;10;10;10;10;10
1470-smes,http://terrakot-yarn.ru/1470_smesovaja/,СМЕСОВАЯ,250.0,157,Пехорка,Пряжа,Главная страница,,,,Состав:,"30% шерсть, 70% высокообъемный акрил",Метраж:,200 м,Вес мотка:,200 гр,Вес упаковки:,1000 гр (5 мотков),Цена за 1 моток:,157.00 руб,,,,,,,,,,"Экологичная регенерированная пряжа, выработана на основе вторичного сырья. Расцветка меланжевая с цветными вкраплениями.","[['/images/items/1470/yarn1470big.jpg'], ['/images//items/1470/yarn1470.png']]","Смесовая 02 черный,Смесовая 711 т.антрацит",10,10;10;10;10;10;10;10;10;10
54-populj,http://terrakot-yarn.ru/54_populjarnaja/,Популярная,220.0,137,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% шерсть, 45% акрил, 5% акрил высокообъёмный",Метраж:,133 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,137.00 руб,,,,,,,,,"/images/items/54/00006658.jpg,/images/items/54/00006659.jpg,/images/items/54/00006662.jpg,/images/items/54/00006663.jpg,/images/items/54/00006664.jpg,/images/items/54/03808282.jpg,/images/items/54/00006668.jpg,/images/items/54/00006669.jpg,/images/items/54/03808283.jpg,/images/items/54/00006676.jpg,/images/items/54/03811626.jpg,/images/items/54/03825374.jpg,/images/items/54/03837658.jpg,/images/items/54/00006693.jpg,/images/items/54/03808286.jpg,/images/items/54/00006695.jpg,/images/items/54/00006696.jpg,/images/items/54/03836431.jpg,/images/items/54/03828280.jpg,/images/items/54/03836432.jpg,/images/items/54/03810006.jpg,/images/items/54/03832314.jpg,/images/items/54/00380191.jpg,/images/items/54/03814317.jpg,/images/items/54/03836433.jpg,/images/items/54/03813890.jpg,/images/items/54/03805610.jpg,/images/items/54/03813344.jpg","Рекомендованный номер спиц: 5,0 - 6,0мм; крючка: №5,0 - 6,0. Бережная ручная стирка, max 30°C.;Пряжа предназначена для вязания объемных, зимних свитеров, шапок, джемперов. За счет объемного акрила изделия приобретают структурные узоры. Пряжа подойдет для начинающих вязальщиц, результат будет виден уже через несколько часов вязания.","[['/images/items/54/yarn54big.jpg'], ['/images//items/54/yarn54.png']]","01 белый,02 чёрный,05 голубой,06 красный,07 бордо,119 горох,12 желток,13 т.оливковый,195 незабудка,21 брусника,274 серобежевый,276 перламутр,335 изумруд,382 яр.саванна,389 св.фиалка,393 св.маренго,410 сиреневый туман,412 верблюжий,42 слива,43 суровый лён,439 малиновый,447 горчица,45 т.бирюза,480 яр.зелень,491 ультрамарин,520 голубая пролеска,582 св.фуксия,585 графит,698 т.фиолетовый,73 айсберг,78 фиолетовый,87 т.лиловый",10,10;10;10;10;10;10;10;10;10
64-peruan,http://terrakot-yarn.ru/64_peruanskaja_alpaka/,Перуанская Альпака,290.0,182,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% мериносовая шерсть, 50% альпака",Метраж:,150 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,182.00 руб,,,,,,,,,"/images/items/64/00006480.jpg,/images/items/64/00006483.jpg,/images/items/64/03832311.jpg,/images/items/64/00006489.jpg,/images/items/64/03833750.jpg","Рекомендованный номер спиц: 2,5 - 3,5мм; крючка: №2,0 - 3,0. Бережная ручная стирка, max 30°C.;""Перуанская альпака"" - пряжа премиум класса. Необычайно мягкая и легкая. Идеальное сочетание мериносовой шерсти и альпаки. Изделия дарят коже теплоту и мягкость.;;             ","[['/images/items/64/yarn64big.jpg'], ['/images//items/64/yarn64.png']]","01 белый,173 грильяж,251 коричневый,379 св.брусника,410 сиреневый туман,579 св.кофейный,878 терракот",10,10;10;10;10;10;10;10;10;10
50-perspe,http://terrakot-yarn.ru/50_perspektivnaja/,Перспективная,280.0,172,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% мериносовая шерсть, 50% акрил высокообъёмный",Метраж:,270 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,172.00 руб,,,,,,,,,"/images/items/50/03837624.jpg,/images/items/50/03837625.jpg,/images/items/50/03843059.jpg,/images/items/50/03850034.jpg,/images/items/50/03851103.jpg,/images/items/50/03844541.jpg,/images/items/50/03837629.jpg,/images/items/50/03837630.jpg,/images/items/50/03837632.jpg,/images/items/50/03837633.jpg,/images/items/50/03843359.jpg,/images/items/50/03837635.jpg,/images/items/50/03850035.jpg,/images/items/50/03842415.jpg,/images/items/50/03844543.jpg,/images/items/50/03837636.jpg,/images/items/50/03843360.jpg,/images/items/50/03844544.jpg,/images/items/50/03837639.jpg,/images/items/50/03844546.jpg,/images/items/50/03843751.jpg,/images/items/50/03852310.jpg,/images/items/50/03852967.jpg,/images/items/50/03837642.jpg,/images/items/50/03837644.jpg,/images/items/50/03844550.jpg,/images/items/50/03843060.jpg,/images/items/50/03843361.jpg,/images/items/50/03837650.jpg","Рекомендованный номер спиц: 3,0 - 3,5мм; крючка: №3,0 - 3,5. Бережная ручная стирка, max 30°C.;Пряжа ""Перспективная"" необычайной мягкости нитка. В составе 50% мериносовой шерсти, что делает нить теплой и неколючей, акрил придает прочности и объема. Многокруточная пряжа. Пряжа выполняет функцию теплообмена, кожа в таких изделиях дышит и не перегревается.","[['/images/items/50/yarn50big.jpg'], ['/images//items/50/yarn50.png']]","01 белый,02 черный,05 голубой,10 тайга,1011 гортензия,11 ярк.розовый,12 желток,14 мор.волна,173 грильяж,174 стальной,194 рыжик,22 сирень,242 гжель,255 джинсовый,266 ликёр,274 серобежевый,30 св.терракот,324 св.азалия,335 изумруд,378 герань,389 св.фиалка,396 настурция,410 сиреневый туман,414 меланж,43 суровый лен,447 горчица,583 бирюза,71 талая вода,795 ярк.синий,91 кармин,98 лесн.колокол.",10,10;10;10;10;10;10;10;10;10
63-ovechj,http://terrakot-yarn.ru/63_ovechja_sherst/,Овечья Шерсть,180.0,112,Пехорка,Пряжа,Главная страница,,,,Состав:,100% шерсть,Метраж:,200 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,112.00 руб,,,,,,,,,"/images/items/63/03812222.jpg,/images/items/63/03804339.jpg,/images/items/63/03804338.jpg,/images/items/63/03804340.jpg","Рекомендованный номер спиц: 2,5 - 3,5мм; крючка: №2,0 - 3,0. Бережная ручная стирка, max 30°C.;Овечья шерсть хорошо подходит для вязания носков, она дольше сохраняет тепло, не намокает, выполняет функцию теплообмена. Изделия получаются прочными, теплыми.","[['/images/items/63/yarn63big.jpg'], ['/images//items/63/yarn63.png']]","166 суровый,371 натуральный серый,372 натур.тёмно-серый,530 светл.натуральный",10,10;10;10;10;10;10;10;10;10
67-nosoch,http://terrakot-yarn.ru/67_nosochnaja/,Носочная,170.0,104,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% шерсть, 50% акрил",Метраж:,200 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,104.00 руб,,,,,,,,,"/images/items/67/03855944.jpg,/images/items/67/03823680.jpg",,"[['/images/items/67/yarn67big.jpg'], ['/images//items/67/yarn67.png']]","09 зеленое яблоко,1143 розовый меланж,191 ежевика,21 брусника,255 джинсовый,256 св.джинса,273 шторм,274 серобежевый,34 золото,381 лавр,816 красный меланж,96 серый меланж",10,10;10;10;10;10;10;10;10;10
70-narodn,http://terrakot-yarn.ru/70_narodnaja/,Народная,200.0,128,Пехорка,Пряжа,Главная страница,,,,Состав:,"30% шерсть, 70% акрил",Метраж:,220 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,128.00 руб,,,,,,,,,"/images/items/70/03820177.jpg,/images/items/70/03825718.jpg,/images/items/70/03825359.jpg,/images/items/70/03857328.jpg,/images/items/70/03825360.jpg,/images/items/70/03855936.jpg,/images/items/70/03825362.jpg,/images/items/70/03820179.jpg,/images/items/70/03855937.jpg,/images/items/70/03841671.jpg,/images/items/70/03843052.jpg,/images/items/70/03825365.jpg,/images/items/70/03855939.jpg,/images/items/70/03820180.jpg,/images/items/70/03825368.jpg,/images/items/70/03825367.jpg,/images/items/70/03843053.jpg,/images/items/70/03843055.jpg,/images/items/70/03842578.jpg,/images/items/70/03825370.jpg,/images/items/70/03855941.jpg,/images/items/70/03843057.jpg,/images/items/70/03857333.jpg,/images/items/70/03825372.jpg,/images/items/70/03820181.jpg","Рекомендованный номер спиц: 3,0 - 3,5мм; крючка: №2,5 - 3,0. Бережная ручная стирка, max 30°C.;Пряжа ""Народная"" - пряжа эконом-класса. Любое изделие, связанное из этой пряжи , будет радовать своего владельца теплотой и мягкостью, будь то это шапки или шарфы, кофты или носки. ","[['/images/items/70/yarn70big.jpg'], ['/images//items/70/yarn70.png']]","01 белый,02 черный,04 т.синий,07 бордо,08 св.серый,117 киви,118 подсолнух,14 морская волна,165 т.бежевый,17 шоколад,20 розовый,21 брусника,223 св.бирюза,255 джинсовый,266 ликер,279 шампанское,30 св.терракот,329 лаванда,335 изумруд,351 св.коралл,393 св.маренго,42 слива,420 арктика,43 суровый лен,430 св.беж,439 малиновый,447 горчица,45 т.бирюза,491 ультрамарин,571 синий,573 т.изумруд,58 коралл,599 увядшая роза,78 фиолетовый,88 красный мак,887 орех",10,10;10;10;10;10;10;10;10;10
53-mongol,http://terrakot-yarn.ru/53_mongolskij_verbljud/,Монгольский Верблюд,210.0,134,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% верблюжья шерсть, 50% ПАН высокообъёмный",Метраж:,300 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,134.00 руб,,,,,,,,,"/images/items/53/03815224.jpg,/images/items/53/03814626.jpg,/images/items/53/03813341.jpg","Рекомендованный номер спиц: 3,0 - 3,5мм; крючка: №2,5 - 3,0. Бережная ручная стирка, max 30°C.;Изделия, связанные из этой пряжи имеют высокую теплоизоляцию, гигроскопичность, обладают целебными качествами.  ","[['/images/items/53/yarn53big.jpg'], ['/images//items/53/yarn53.png']]","165 т.бежевый,371 натур.серый,372 натур.т.серый",10,10;10;10;10;10;10;10;10;10
59-mercaj,http://terrakot-yarn.ru/59_mercajushhaja/,Мерцающая,210.0,129,Пехорка,Пряжа,Главная страница,,,,Состав:,"96% акрил высокообъёмный, 4% метанит",Метраж:,430 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,129.00 руб,,,,,,,,,"/images/items/59/03843047.jpg,/images/items/59/03843050.jpg","Рекомендованный номер спиц: 2,0 - 2,5мм; крючка: №2,0 - 2,5. Бережная ручная стирка, max 30°C.;В составе пряжи акрил и люрекс. Люрекс предает приглушенный блеск изделию, акрил хорошо держит форму и придает прочность изделию. Хорошо смотрятся шали и палантины, изделия из этой пряжи имеют праздничный вид. ","[['/images/items/59/yarn59big.jpg'], ['/images//items/59/yarn59.png']]","12 желток,159 клюква,161 мокко,742 бильярд",10,10;10;10;10;10;10;10;10;10
52-merino,http://terrakot-yarn.ru/52_merinosovaja/,Мериносовая,280.0,173,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% мериносовая шерсть, 50% акрил",Метраж:,200 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,173.00 руб,,,,,,,,,"/images/items/52/03815213.jpg,/images/items/52/03815214.jpg,/images/items/52/03815217.jpg,/images/items/52/03832306.jpg,/images/items/52/03819123.jpg,/images/items/52/03817916.jpg,/images/items/52/03828272.jpg,/images/items/52/03828273.jpg,/images/items/52/03814998.jpg,/images/items/52/03815221.jpg,/images/items/52/03817921.jpg,/images/items/52/03819124.jpg,/images/items/52/03817922.jpg,/images/items/52/03820137.jpg,/images/items/52/03819126.jpg,/images/items/52/03817924.jpg,/images/items/52/03828274.jpg,/images/items/52/03817925.jpg,/images/items/52/03828275.jpg,/images/items/52/03819127.jpg,/images/items/52/03817926.jpg","Рекомендованный номер спиц: 4,0 - 5,0мм; крючка: №3,5 - 4,5. Бережная ручная стирка, max 30°C.;Название ""Мериносовая"" оправдывает себя, в состав входит мериносовая шерсть. Пряжа объемной круточки, идеальна для вязания шапок, снудов. ;Изделия получатся объемными, теплыми. ","[['/images/items/52/yarn52big.jpg'], ['/images//items/52/yarn52.png']]","01 белый,02 чёрный,06 красный,12 желток,124 песочный,177 голубое небо,191 ежевика,21 брусничный,223 св.бирюза,24 орхидея,251 коричневый,335 изумруд,344 красная глина,384 яр.астра,386 св.серый меланж,396 настурция,40 цикламен,447 горчица,45 т.бирюза,49 фуксия,491 ультрамарин,89 фрез,98 лесной колокольчик",10,10;10;10;10;10;10;10;10;10
494-kruzh,http://terrakot-yarn.ru/494_kruzhevnaja/,Кружевная,80.0,49,Пехорка,Пряжа,Главная страница,,,,Состав:,100% акрил,Метраж:,280 м,Вес мотка:,50 гр,Вес упаковки:,250 гр (5 мотков),Цена за 1 моток:,49.00 руб,,,,,,,,,"/images/items/494/03838408.jpg,/images/items/494/03838632.jpg,/images/items/494/03838415.jpg,/images/items/494/03838434.jpg,/images/items/494/03838416.jpg,/images/items/494/03838417.jpg,/images/items/494/03838428.jpg,/images/items/494/03838430.jpg,/images/items/494/03838429.jpg,/images/items/494/03838431.jpg,/images/items/494/03838418.jpg,/images/items/494/03842570.jpg,/images/items/494/03839807.jpg,/images/items/494/03838419.jpg,/images/items/494/03838432.jpg,/images/items/494/03838420.jpg,/images/items/494/03838421.jpg,/images/items/494/03838422.jpg,/images/items/494/03842571.jpg,/images/items/494/03842573.jpg,/images/items/494/03838424.jpg,/images/items/494/03842574.jpg,/images/items/494/03838426.jpg,/images/items/494/03838435.jpg,/images/items/494/03838436.jpg,/images/items/494/03838425.jpg,/images/items/494/03838427.jpg,/images/items/494/03842576.jpg,/images/items/494/03842577.jpg,/images/items/494/03839806.jpg,/images/items/494/03838437.jpg","Рекомендованный номер спиц: 1,5 - 2,0мм; крючка: №1,5 - 2,0. Бережная ручная стирка, max 30°C.;Пряжа ""Кружевная"" относится к пряже ""Эконом серии"" - с большим метражом. Имеет богатую цветовую палитру, при стирке не линяет, что позволяет комбинировать ее в различных цветосочетаниях. Изделия не дают усадку после стирки, не скатываются, быстро сохнут.","[['/images/items/494/yarn494big.jpg'], ['/images//items/494/yarn494.png']]","01 белый,02 черный,03 св.бежевый,06 красный,08 св.серый,12 желток,125 камелия,14 морская волна,159 клюква,165 т.бежевый,166 суровый,173 грильяж,179 фиалка,180 св.бегония,189 ярк.оранжевый,222 голубая бирюза,223 св.бирюза,25 кристалл,28 амарант,323 т.бордо,393 св.маренго,41 салатовый,411 мята,45 т.бирюза,483 незрелый лимон,581 св.изумруд,65 экзотика,742 бильярд,796 яшма,80 канарейка,87 т.лиловый",10,10;10;10;10;10;10;10;10;10
