sku,Link,name_v,price,price_z,categor_list0,categor_list1,categor_list2,categor_list3,categor_list4,categor_list5,list_optoins0,list_optoins_value0,list_options5,list_optoins_value5,list_optoins1,list_optoins_value1,list_optoins2,list_optoins_value2,list_optoins3,list_optoins_value3,list_optoins4,list_optoins_value4,price_skidka,list_img,description,img_color,name_color,quantity,quantity opc
64-peruan,http://terrakot-yarn.ru/64_peruanskaja_alpaka/,Перуанская Альпака,290.0,182,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% мериносовая шерсть, 50% альпака",,,Метраж:,150 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,290.0,,"/images/items/64/00006480.jpg,/images/items/64/00006483.jpg,/images/items/64/03832311.jpg,/images/items/64/00006489.jpg,/images/items/64/03833750.jpg","Рекомендованный номер спиц: 2,5 - 3,5мм; крючка: №2,0 - 3,0. Бережная ручная стирка, max 30°C.;""Перуанская альпака"" - пряжа премиум класса. Необычайно мягкая и легкая. Идеальное сочетание мериносовой шерсти и альпаки. Изделия дарят коже теплоту и мягкость.;;             ","[['/images/items/64/yarn64big.jpg'], ['/images//items/64/yarn64.png']]","01 белый,173 грильяж,251 коричневый,379 св.брусника,410 сиреневый туман,579 св.кофейный,878 терракот",10,10;10;10;10;10;10;10;10;10
63-ovechj,http://terrakot-yarn.ru/63_ovechja_sherst/,Овечья Шерсть,180.0,112,Пехорка,Пряжа,Главная страница,,,,Состав:,100% шерсть,,,Метраж:,200 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,180.0,,"/images/items/63/03812222.jpg,/images/items/63/03804339.jpg,/images/items/63/03804338.jpg,/images/items/63/03804340.jpg","Рекомендованный номер спиц: 2,5 - 3,5мм; крючка: №2,0 - 3,0. Бережная ручная стирка, max 30°C.;Овечья шерсть хорошо подходит для вязания носков, она дольше сохраняет тепло, не намокает, выполняет функцию теплообмена. Изделия получаются прочными, теплыми.","[['/images/items/63/yarn63big.jpg'], ['/images//items/63/yarn63.png']]","166 суровый,371 натуральный серый,372 натур.тёмно-серый,530 светл.натуральный",10,10;10;10;10;10;10;10;10;10
50-perspe,http://terrakot-yarn.ru/50_perspektivnaja/,Перспективная,280.0,172,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% мериносовая шерсть, 50% акрил высокообъёмный",,,Метраж:,270 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,280.0,,"/images/items/50/03837624.jpg,/images/items/50/03837625.jpg,/images/items/50/03843059.jpg,/images/items/50/03850034.jpg,/images/items/50/03851103.jpg,/images/items/50/03844541.jpg,/images/items/50/03837629.jpg,/images/items/50/03837630.jpg,/images/items/50/03837632.jpg,/images/items/50/03837633.jpg,/images/items/50/03843359.jpg,/images/items/50/03837635.jpg,/images/items/50/03850035.jpg,/images/items/50/03842415.jpg,/images/items/50/03844543.jpg,/images/items/50/03837636.jpg,/images/items/50/03843360.jpg,/images/items/50/03844544.jpg,/images/items/50/03837639.jpg,/images/items/50/03844546.jpg,/images/items/50/03843751.jpg,/images/items/50/03852310.jpg,/images/items/50/03852967.jpg,/images/items/50/03837642.jpg,/images/items/50/03837644.jpg,/images/items/50/03844550.jpg,/images/items/50/03843060.jpg,/images/items/50/03843361.jpg,/images/items/50/03837650.jpg","Рекомендованный номер спиц: 3,0 - 3,5мм; крючка: №3,0 - 3,5. Бережная ручная стирка, max 30°C.;Пряжа ""Перспективная"" необычайной мягкости нитка. В составе 50% мериносовой шерсти, что делает нить теплой и неколючей, акрил придает прочности и объема. Многокруточная пряжа. Пряжа выполняет функцию теплообмена, кожа в таких изделиях дышит и не перегревается.","[['/images/items/50/yarn50big.jpg'], ['/images//items/50/yarn50.png']]","01 белый,02 черный,05 голубой,10 тайга,1011 гортензия,11 ярк.розовый,12 желток,14 мор.волна,173 грильяж,174 стальной,194 рыжик,22 сирень,242 гжель,255 джинсовый,266 ликёр,274 серобежевый,30 св.терракот,324 св.азалия,335 изумруд,378 герань,389 св.фиалка,396 настурция,410 сиреневый туман,414 меланж,43 суровый лен,447 горчица,583 бирюза,71 талая вода,795 ярк.синий,91 кармин,98 лесн.колокол.",10,10;10;10;10;10;10;10;10;10
67-nosoch,http://terrakot-yarn.ru/67_nosochnaja/,Носочная,170.0,104,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% шерсть, 50% акрил",,,Метраж:,200 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,170.0,,"/images/items/67/03855944.jpg,/images/items/67/03823680.jpg",,"[['/images/items/67/yarn67big.jpg'], ['/images//items/67/yarn67.png']]","09 зеленое яблоко,1143 розовый меланж,191 ежевика,21 брусника,255 джинсовый,256 св.джинса,273 шторм,274 серобежевый,34 золото,381 лавр,816 красный меланж,96 серый меланж",10,10;10;10;10;10;10;10;10;10
53-mongol,http://terrakot-yarn.ru/53_mongolskij_verbljud/,Монгольский Верблюд,210.0,134,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% верблюжья шерсть, 50% ПАН высокообъёмный",,,Метраж:,300 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,210.0,,"/images/items/53/03815224.jpg,/images/items/53/03814626.jpg,/images/items/53/03813341.jpg","Рекомендованный номер спиц: 3,0 - 3,5мм; крючка: №2,5 - 3,0. Бережная ручная стирка, max 30°C.;Изделия, связанные из этой пряжи имеют высокую теплоизоляцию, гигроскопичность, обладают целебными качествами.  ","[['/images/items/53/yarn53big.jpg'], ['/images//items/53/yarn53.png']]","165 т.бежевый,371 натур.серый,372 натур.т.серый",10,10;10;10;10;10;10;10;10;10
70-narodn,http://terrakot-yarn.ru/70_narodnaja/,Народная,200.0,128,Пехорка,Пряжа,Главная страница,,,,Состав:,"30% шерсть, 70% акрил",,,Метраж:,220 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,200.0,,"/images/items/70/03820177.jpg,/images/items/70/03825718.jpg,/images/items/70/03825359.jpg,/images/items/70/03857328.jpg,/images/items/70/03825360.jpg,/images/items/70/03855936.jpg,/images/items/70/03825362.jpg,/images/items/70/03820179.jpg,/images/items/70/03855937.jpg,/images/items/70/03841671.jpg,/images/items/70/03843052.jpg,/images/items/70/03825365.jpg,/images/items/70/03855939.jpg,/images/items/70/03820180.jpg,/images/items/70/03825368.jpg,/images/items/70/03825367.jpg,/images/items/70/03843053.jpg,/images/items/70/03843055.jpg,/images/items/70/03842578.jpg,/images/items/70/03825370.jpg,/images/items/70/03855941.jpg,/images/items/70/03843057.jpg,/images/items/70/03857333.jpg,/images/items/70/03825372.jpg,/images/items/70/03820181.jpg","Рекомендованный номер спиц: 3,0 - 3,5мм; крючка: №2,5 - 3,0. Бережная ручная стирка, max 30°C.;Пряжа ""Народная"" - пряжа эконом-класса. Любое изделие, связанное из этой пряжи , будет радовать своего владельца теплотой и мягкостью, будь то это шапки или шарфы, кофты или носки. ","[['/images/items/70/yarn70big.jpg'], ['/images//items/70/yarn70.png']]","01 белый,02 черный,04 т.синий,07 бордо,08 св.серый,117 киви,118 подсолнух,14 морская волна,165 т.бежевый,17 шоколад,20 розовый,21 брусника,223 св.бирюза,255 джинсовый,266 ликер,279 шампанское,30 св.терракот,329 лаванда,335 изумруд,351 св.коралл,393 св.маренго,42 слива,420 арктика,43 суровый лен,430 св.беж,439 малиновый,447 горчица,45 т.бирюза,491 ультрамарин,571 синий,573 т.изумруд,58 коралл,599 увядшая роза,78 фиолетовый,88 красный мак,887 орех",10,10;10;10;10;10;10;10;10;10
59-mercaj,http://terrakot-yarn.ru/59_mercajushhaja/,Мерцающая,210.0,129,Пехорка,Пряжа,Главная страница,,,,Состав:,"96% акрил высокообъёмный, 4% метанит",,,Метраж:,430 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,210.0,,"/images/items/59/03843047.jpg,/images/items/59/03843050.jpg","Рекомендованный номер спиц: 2,0 - 2,5мм; крючка: №2,0 - 2,5. Бережная ручная стирка, max 30°C.;В составе пряжи акрил и люрекс. Люрекс предает приглушенный блеск изделию, акрил хорошо держит форму и придает прочность изделию. Хорошо смотрятся шали и палантины, изделия из этой пряжи имеют праздничный вид. ","[['/images/items/59/yarn59big.jpg'], ['/images//items/59/yarn59.png']]","12 желток,159 клюква,161 мокко,742 бильярд",10,10;10;10;10;10;10;10;10;10
52-merino,http://terrakot-yarn.ru/52_merinosovaja/,Мериносовая,280.0,173,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% мериносовая шерсть, 50% акрил",,,Метраж:,200 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,280.0,,"/images/items/52/03815213.jpg,/images/items/52/03815214.jpg,/images/items/52/03815217.jpg,/images/items/52/03832306.jpg,/images/items/52/03819123.jpg,/images/items/52/03817916.jpg,/images/items/52/03828272.jpg,/images/items/52/03828273.jpg,/images/items/52/03814998.jpg,/images/items/52/03815221.jpg,/images/items/52/03817921.jpg,/images/items/52/03819124.jpg,/images/items/52/03817922.jpg,/images/items/52/03820137.jpg,/images/items/52/03819126.jpg,/images/items/52/03817924.jpg,/images/items/52/03828274.jpg,/images/items/52/03817925.jpg,/images/items/52/03828275.jpg,/images/items/52/03819127.jpg,/images/items/52/03817926.jpg","Рекомендованный номер спиц: 4,0 - 5,0мм; крючка: №3,5 - 4,5. Бережная ручная стирка, max 30°C.;Название ""Мериносовая"" оправдывает себя, в состав входит мериносовая шерсть. Пряжа объемной круточки, идеальна для вязания шапок, снудов. ;Изделия получатся объемными, теплыми. ","[['/images/items/52/yarn52big.jpg'], ['/images//items/52/yarn52.png']]","01 белый,02 чёрный,06 красный,12 желток,124 песочный,177 голубое небо,191 ежевика,21 брусничный,223 св.бирюза,24 орхидея,251 коричневый,335 изумруд,344 красная глина,384 яр.астра,386 св.серый меланж,396 настурция,40 цикламен,447 горчица,45 т.бирюза,49 фуксия,491 ультрамарин,89 фрез,98 лесной колокольчик",10,10;10;10;10;10;10;10;10;10
494-kruzh,http://terrakot-yarn.ru/494_kruzhevnaja/,Кружевная,80.0,49,Пехорка,Пряжа,Главная страница,,,,Состав:,100% акрил,,,Метраж:,280 м,Вес мотка:,50 гр,Вес упаковки:,250 гр (5 мотков),Цена за 1 моток:,80.0,,"/images/items/494/03838408.jpg,/images/items/494/03838632.jpg,/images/items/494/03838415.jpg,/images/items/494/03838434.jpg,/images/items/494/03838416.jpg,/images/items/494/03838417.jpg,/images/items/494/03838428.jpg,/images/items/494/03838430.jpg,/images/items/494/03838429.jpg,/images/items/494/03838431.jpg,/images/items/494/03838418.jpg,/images/items/494/03842570.jpg,/images/items/494/03839807.jpg,/images/items/494/03838419.jpg,/images/items/494/03838432.jpg,/images/items/494/03838420.jpg,/images/items/494/03838421.jpg,/images/items/494/03838422.jpg,/images/items/494/03842571.jpg,/images/items/494/03842573.jpg,/images/items/494/03838424.jpg,/images/items/494/03842574.jpg,/images/items/494/03838426.jpg,/images/items/494/03838435.jpg,/images/items/494/03838436.jpg,/images/items/494/03838425.jpg,/images/items/494/03838427.jpg,/images/items/494/03842576.jpg,/images/items/494/03842577.jpg,/images/items/494/03839806.jpg,/images/items/494/03838437.jpg","Рекомендованный номер спиц: 1,5 - 2,0мм; крючка: №1,5 - 2,0. Бережная ручная стирка, max 30°C.;Пряжа ""Кружевная"" относится к пряже ""Эконом серии"" - с большим метражом. Имеет богатую цветовую палитру, при стирке не линяет, что позволяет комбинировать ее в различных цветосочетаниях. Изделия не дают усадку после стирки, не скатываются, быстро сохнут.","[['/images/items/494/yarn494big.jpg'], ['/images//items/494/yarn494.png']]","01 белый,02 черный,03 св.бежевый,06 красный,08 св.серый,12 желток,125 камелия,14 морская волна,159 клюква,165 т.бежевый,166 суровый,173 грильяж,179 фиалка,180 св.бегония,189 ярк.оранжевый,222 голубая бирюза,223 св.бирюза,25 кристалл,28 амарант,323 т.бордо,393 св.маренго,41 салатовый,411 мята,45 т.бирюза,483 незрелый лимон,581 св.изумруд,65 экзотика,742 бильярд,796 яшма,80 канарейка,87 т.лиловый",10,10;10;10;10;10;10;10;10;10
1352-kono,http://terrakot-yarn.ru/1352_konopljanaja/,КОНОПЛЯНАЯ,160.0,100,Пехорка,Пряжа,Главная страница,,,,Состав:,"30% конопля, 70% хлопок",,,Метраж:,280 м,Вес мотка:,50 гр,Вес упаковки:,250 гр (5 мотков),Цена за 1 моток:,160.0,,"/images/items/1352/03855947.jpg,/images/items/1352/03851149.jpg,/images/items/1352/03851150.jpg,/images/items/1352/03855949.jpg,/images/items/1352/03855950.jpg,/images/items/1352/03855951.jpg,/images/items/1352/03851154.jpg,/images/items/1352/03855952.jpg,/images/items/1352/03851148.jpg","У конопли высокие лечебно – профилактические свойства: изделия из коноплянойпряжи поддерживают нормальный теплообмен человеческого организма (зимой не холодно, а летом не жарко). Этот эффект достигается за счет того, что волокно конопли пористое. Ультрафиолетовое излучение, столь губительное для нашей кожи, задерживается коноплей почти полностью (на 95%). Гипоаллергенностьдостигается благодаря отсутствию в растительном сырье токсичных химикатов, поэтому нет раздражения на коже и создается общий тонизирующий эффект организму.","[['/images/items/1352/yarn1352big.jpg'], ['/images//items/1352/yarn1352.png']]","Конопляная 01 белый,Конопляная 02 черный,Конопляная 05 голубой,Конопляная 124 песочный,Конопляная 166 суровый,Конопляная 18 персик,Конопляная 187 капучино,Конопляная 447 горчица,Конопляная 585 графит",10,10;10;10;10;10;10;10;10;10
51-krossb,http://terrakot-yarn.ru/51_krossbred_brazilii/,Кроссбред Бразилии,280.0,172,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% мериносовая шерсть, 50% акрил",,,Метраж:,500 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,280.0,,"/images/items/51/03812356.jpg,/images/items/51/03812360.jpg,/images/items/51/03812361.jpg,/images/items/51/03812362.jpg,/images/items/51/03814310.jpg,/images/items/51/03813886.jpg,/images/items/51/03814623.jpg,/images/items/51/03837311.jpg,/images/items/51/03814622.jpg,/images/items/51/03812364.jpg,/images/items/51/03836428.jpg,/images/items/51/03812366.jpg,/images/items/51/03812947.jpg,/images/items/51/03829108.jpg,/images/items/51/03829109.jpg,/images/items/51/03828835.jpg,/images/items/51/03812368.jpg,/images/items/51/03812369.jpg,/images/items/51/03837313.jpg,/images/items/51/03812370.jpg,/images/items/51/03812950.jpg,/images/items/51/03829110.jpg,/images/items/51/03829111.jpg,/images/items/51/03812952.jpg,/images/items/51/03812374.jpg","Рекомендованный номер спиц: 2,0 - 2,5мм; крючка: №2,0 - 2,5. Бережная ручная стирка, max 30°C.;Тоненькая нить. В составе мериносовая шерсть и акрил. Идеально подойдет для вязания шалей, палатнинов, они получатся невесомые, воздушные и в то же время теплые. ","[['/images/items/51/yarn51big.jpg'], ['/images//items/51/yarn51.png']]","01 белый,02 чёрный,08 св.серый,117 киви,156 индиго,166 суровый,17 шоколад,173 грильяж,174 стальной,177 голубое небо,179 фиалка,191 ежевика,274 серобежевый,323 т.бордо,335 изумруд,35 маренго,374 роз.беж,389 св.фиалка,431 бежевый меланж,447 горчица,525 св.слива,571 синий,573 т.изумруд,582 св.фуксия,583 бирюза,88 красный мак,98 лесной колокольчик",10,10;10;10;10;10;10;10;10;10
1609-konk,http://terrakot-yarn.ru/1609_konkurentnaja/,КОНКУРЕНТНАЯ,220.0,140,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% им. шерсть, 50% акрил",,,Метраж:,250 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,220.0,,"/images/items/1609/00003904.jpg,/images/items/1609/00003905.jpg,/images/items/1609/00003909.jpg,/images/items/1609/03809033.jpg,/images/items/1609/00556069.jpg,/images/items/1609/03857337.jpg,/images/items/1609/03857339.jpg,/images/items/1609/03857340.jpg,/images/items/1609/03857341.jpg,/images/items/1609/03857342.jpg,/images/items/1609/00003928.jpg,/images/items/1609/03857343.jpg,/images/items/1609/03857344.jpg,/images/items/1609/03809034.jpg,/images/items/1609/03809998.jpg,/images/items/1609/00003935.jpg,/images/items/1609/00556067.jpg,/images/items/1609/03804306.jpg,/images/items/1609/03809999.jpg,/images/items/1609/03857345.jpg,/images/items/1609/03857346.jpg,/images/items/1609/03805625.jpg,/images/items/1609/03857347.jpg,/images/items/1609/03811621.jpg,/images/items/1609/03808510.jpg,/images/items/1609/03857348.jpg,/images/items/1609/03811622.jpg,/images/items/1609/03811623.jpg,/images/items/1609/03808277.jpg,/images/items/1609/03808508.jpg",,"[['/images/items/1609/yarn1609big.jpg'], ['/images//items/1609/yarn1609.png']]","Конкурентная 01 белый,Конкурентная 02 чёрный,Конкурентная 07 бордо,Конкурентная 100 корол.синий,Конкурентная 119 горох,Конкурентная 14 морская волна,Конкурентная 163 миндаль,Конкурентная 173 грильяж,Конкурентная 183 пур-пур,Конкурентная 191 ежевика,Конкурентная 192 зелень,Конкурентная 255 джинсовый,Конкурентная 30 св.терракот,Конкурентная 32 табак,Конкурентная 329 лаванда,Конкурентная 378 герань,Конкурентная 393 св.маренго,Конкурентная 40 цикламен,Конкурентная 420 арктика,Конкурентная 437 ковыль,Конкурентная 439 малиновый,Конкурентная 442 натуральный,Конкурентная 447 горчица,Конкурентная 520 голубая пролеска,Конкурентная 53 св.желтый,Конкурентная 571 синий,Конкурентная 579 св.кофейный,Конкурентная 583 бирюза,Конкурентная 680 готика,Конкурентная 69 св.сумерки,Конкурентная 75 жёлтая роза,Конкурентная 78 фиолетовый,Конкурентная 88 красный мак",10,10;10;10;10;10;10;10;10;10
68-klassi,http://terrakot-yarn.ru/68_klassicheskij_hlopok/,Классический Хлопок,220.0,140,Пехорка,Пряжа,Главная страница,,,,Состав:,100% мерсеризованный хлопок,,,Метраж:,250 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,220.0,,"/images/items/68/03838646.jpg,/images/items/68/03838647.jpg,/images/items/68/03838648.jpg,/images/items/68/03838650.jpg,/images/items/68/03838651.jpg,/images/items/68/03838652.jpg,/images/items/68/03838654.jpg,/images/items/68/03838653.jpg,/images/items/68/03838656.jpg,/images/items/68/03838657.jpg,/images/items/68/03839067.jpg,/images/items/68/03838658.jpg,/images/items/68/03838659.jpg,/images/items/68/03838660.jpg,/images/items/68/03838661.jpg,/images/items/68/03838662.jpg,/images/items/68/03838663.jpg,/images/items/68/03839068.jpg,/images/items/68/03839069.jpg,/images/items/68/03838664.jpg,/images/items/68/03838665.jpg,/images/items/68/03839520.jpg,/images/items/68/03838666.jpg,/images/items/68/03839521.jpg","Рекомендованный номер спиц: 2,5 - 3,0мм; крючка: №2,5 - 3,0. Бережная ручная стирка, max 30°C.;Мерсеризованный хлопок - довольно объемной круточки, отлично подойдет для вязания летних туник спицами. При вязании крючком, вещи получаются довольно объемными, фактурными. После стирки изделие не деформируется, петельки ложатся ровненько.","[['/images/items/68/yarn68big.jpg'], ['/images//items/68/yarn68.png']]","01 белый,02 черный,03 св.бежевый,07 бордо,08 св.серый,100 корол.синий,12 желток,124 песочный,222 голубая бирюза,223 св.бирюза,335 изумруд,389 св.фиалка,393 св.маренго,411 мята,439 малиновый,447 горчица,45 т.бирюза,480 ярк.зелень,483 незр.лимон,485 желтооранж.,513 кора,571 синий,58 коралл,698 т.фиолетовый",10,10;10;10;10;10;10;10;10;10
38-detski,http://terrakot-yarn.ru/38_detskij_hlopok/,Детский Хлопок,240.0,150,Пехорка,Пряжа,Главная страница,,,,Состав:,100% мерсеризованный хлопок,,,Метраж:,330 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,240.0,,"/images/items/38/03816399.jpg,/images/items/38/03823672.jpg,/images/items/38/03816401.jpg,/images/items/38/03822988.jpg,/images/items/38/03822989.jpg,/images/items/38/03816402.jpg,/images/items/38/03823674.jpg,/images/items/38/03816404.jpg,/images/items/38/03816405.jpg,/images/items/38/03838378.jpg,/images/items/38/03838629.jpg,/images/items/38/03823675.jpg,/images/items/38/03838630.jpg,/images/items/38/03839515.jpg,/images/items/38/03822995.jpg,/images/items/38/03816407.jpg,/images/items/38/03822997.jpg,/images/items/38/03816409.jpg,/images/items/38/03846976.jpg,/images/items/38/03838631.jpg,/images/items/38/03839062.jpg","Рекомендованный номер спиц: 2,5  3,0мм; крючка: №2,5.Бережная ручная стирка, max 30°C.Пряжа мягкая, гигроскопичная, из натуральных волокон, не вызывает аллергии. Изделия из мерсеризованного хлопка хорошо держат форму, не деформируются, не выгорают на солнце.","[['/images/items/38/yarn38big.jpg'], ['/images//items/38/yarn38.png']]","01 белый,02 чёрный,08 св.серый,11 яр.розовый,12 желток,15 голубой,178 св.сиреневый,180 св.бегония,223 св.бирюза,26 василёк,276 перламутр,335 изумруд,346 т.сирень,393 св.маренго,45 т.бирюза,480 ярк.зелень,483 незрелый лимон,485 жёлтооранжевый,49 фуксия,515 зеленая бирюза,60 св.голубой,65 экзотика,698 т.фиолетовый,78 фиолетовый,84 малиновый мусс,87 т.лиловый",10,10;10;10;10;10;10;10;10;10
1638-dets,http://terrakot-yarn.ru/1638_detskij_kapriz_trikotazhnyj/,ДЕТСКИЙ КАПРИЗ ТРИКОТАЖНЫЙ,140.0,86,Пехорка,Пряжа,Главная страница,,,,Состав:,50% мериносовая шерсть 50 % фибра,,,Метраж:,400 м,Вес мотка:,50 гр,Вес упаковки:,250 гр (5 мотков),Цена за 1 моток:,140.0,,"/images/items/1638/03858325.jpg,/images/items/1638/03858271.jpg,/images/items/1638/03858272.jpg,/images/items/1638/03858273.jpg,/images/items/1638/03858274.jpg,/images/items/1638/03858275.jpg,/images/items/1638/03858277.jpg,/images/items/1638/03858278.jpg,/images/items/1638/03858280.jpg,/images/items/1638/03858281.jpg,/images/items/1638/03858282.jpg,/images/items/1638/03858284.jpg,/images/items/1638/03858285.jpg,/images/items/1638/03858286.jpg,/images/items/1638/03858288.jpg,/images/items/1638/03858289.jpg",,"[['/images/items/1638/yarn1638big.jpg'], ['/images//items/1638/yarn1638.png']]","Детский Каприз Трикотажный 02 черный,Детский Каприз Трикотажный 04 т.синий,Детский Каприз Трикотажный 05 голубой,Детский Каприз Трикотажный 11 ярк.розовый,Детский Каприз Трикотажный 180 св.бегония,Детский Каприз Трикотажный 194 рыжик,Детский Каприз Трикотажный 251 коричневый,Детский Каприз Трикотажный 255 джинсовый,Детский Каприз Трикотажный 29 розовая сирень,Детский Каприз Трикотажный 483 незр.лимон,Детский Каприз Трикотажный 491 ультрамарин,Детский Каприз Трикотажный 511 зеленка,Детский Каприз Трикотажный 520 голуб.пролеска,Детский Каприз Трикотажный 53 св.желтый,Детский Каприз Трикотажный 583 бирюза,Детский Каприз Трикотажный 75 желтая роза",10,10;10;10;10;10;10;10;10;10
1608-dets,http://terrakot-yarn.ru/1608_detskij_kapriz_teplyj/,ДЕТСКИЙ КАПРИЗ ТЕПЛЫЙ,140.0,86,Пехорка,Пряжа,Главная страница,,,,Состав:,"50% мериносовая шерсть, 50% фибра",,,Метраж:,125 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,140.0,,"/images/items/1608/03857350.jpg,/images/items/1608/03857351.jpg,/images/items/1608/03857352.jpg,/images/items/1608/03857353.jpg,/images/items/1608/03857355.jpg,/images/items/1608/03857357.jpg,/images/items/1608/03857358.jpg,/images/items/1608/03857360.jpg,/images/items/1608/03857361.jpg,/images/items/1608/03857362.jpg,/images/items/1608/03857363.jpg,/images/items/1608/03857364.jpg,/images/items/1608/03857365.jpg,/images/items/1608/03857366.jpg,/images/items/1608/03857367.jpg,/images/items/1608/03857368.jpg,/images/items/1608/03857369.jpg,/images/items/1608/03857370.jpg",,"[['/images/items/1608/yarn1608big.jpg'], ['/images//items/1608/yarn1608.png']]","Детский Каприз Теплый 01 белый,Детский Каприз Теплый 02 черный,Детский Каприз Теплый 04 т.синий,Детский Каприз Теплый 05 голубой,Детский Каприз Теплый 06 красный,Детский Каприз Теплый 07 бордо,Детский Каприз Теплый 11 ярк.розовый,Детский Каприз Теплый 1125 розовый коралл,Детский Каприз Теплый 1128 красный коралл,Детский Каприз Теплый 1129 нежная роза,Детский Каприз Теплый 1130 мятный леденец,Детский Каприз Теплый 1131 сиреневый бархат,Детский Каприз Теплый 1132 виноград.сок,Детский Каприз Теплый 119 горох,Детский Каприз Теплый 12 желток,Детский Каприз Теплый 161 мокко,Детский Каприз Теплый 191 ежевика,Детский Каприз Теплый 222 голуб.бирюза,Детский Каприз Теплый 251 коричневый,Детский Каприз Теплый 27 лимон,Детский Каприз Теплый 274 серобежевый,Детский Каприз Теплый 398 дымок,Детский Каприз Теплый 40 цикламен,Детский Каприз Теплый 442 натуральный,Детский Каприз Теплый 447 горчица,Детский Каприз Теплый 484 баклажан,Детский Каприз Теплый 491 ультрамарин,Детский Каприз Теплый 511 зеленка,Детский Каприз Теплый 516 перс.сирень,Детский Каприз Теплый 65 экзотика",10,10;10;10;10;10;10;10;10;10
49-detski,http://terrakot-yarn.ru/49_detskij_kapriz/,Детский Каприз,140.0,86,Пехорка,Пряжа,Главная страница,,,,Состав:,"60% мериносовая шерсть, 40% фибра (ПАН)",,,Метраж:,225 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,140.0,,"/images/items/49/03812200.jpg,/images/items/49/03812201.jpg,/images/items/49/03812202.jpg,/images/items/49/03812208.jpg,/images/items/49/03812209.jpg,/images/items/49/03856804.jpg,/images/items/49/03812210.jpg,/images/items/49/03856805.jpg,/images/items/49/03835613.jpg,/images/items/49/03812211.jpg,/images/items/49/03813883.jpg,/images/items/49/03812212.jpg,/images/items/49/03821813.jpg,/images/items/49/03813884.jpg,/images/items/49/03812213.jpg,/images/items/49/03825329.jpg,/images/items/49/03845647.jpg,/images/items/49/03812214.jpg,/images/items/49/03825330.jpg,/images/items/49/03856806.jpg,/images/items/49/03812215.jpg,/images/items/49/03825333.jpg,/images/items/49/03813337.jpg,/images/items/49/03835614.jpg,/images/items/49/03845648.jpg,/images/items/49/03845279.jpg,/images/items/49/03821814.jpg,/images/items/49/03829107.jpg,/images/items/49/03852305.jpg,/images/items/49/03813338.jpg,/images/items/49/03851536.jpg,/images/items/49/03825334.jpg,/images/items/49/03812216.jpg","Рекомендованный номер спиц: 2,0 - 2,5мм; крючка: №2,0 - 2,5. Бережная ручная стирка, max 30°C.;Само название пряжи говорит за себя, она предназначена для вязания детских вещей. В состав входит мериносовая шерсть, что делает ее не аллергичной, теплой и мягкой. Большая цветовая палитра понравится всем без исключения. ;Из ""Детского каприза"" можно связать детские костюмчики, одеяла, покрывала, шапочки, пинетки и многое другое.","[['/images/items/49/yarn49big.jpg'], ['/images//items/49/yarn49.png']]","01 белый,02 чёрный,05 голубой,100 корол.синий,11 яр.розовый,119 горох,12 желток,124 песочный,15 т.голубой,179 фиалка,180 св.бегония,222 гол.бирюза,251 коричневый,284 оранжевый,29 роз.сирень,290 клевер,335 изумруд,35 моренго,41 салатовый,43 суровый лен,442 натуральный,447 горчица,48 серый,483 незрелый лимон,485 жёлтооранжевый,491 ультрамарин,525 св.слива,53 св.желтый,571 синий,583 бирюза,60 св.голубой,65 экзотика,78 фиолетовый,84 малиновый мусс,88 красный мак",10,10;10;10;10;10;10;10;10;10
